Bandwidth,NSS,Modulation,codingRate,Datarate,receiversensitivity
20,1,BPSK,0.500000,6.500000,-95.621656
80,1,BPSK,0.500000,29.300000,-89.082056
160,1,BPSK,0.500000,58.500000,-86.079756
40,1,BPSK,0.500000,13.500000,-92.447356
20,1,QPSK,0.500000,13.000000,-89.601656
160,1,QPSK,0.500000,117.000000,-80.058756
80,1,QPSK,0.500000,58.500000,-83.069056
40,1,QPSK,0.500000,27.000000,-86.427356
20,1,QPSK,0.750000,19.500000,-87.840656
160,1,QPSK,0.750000,175.500000,-78.297756
80,1,QPSK,0.750000,87.800000,-81.306056
40,1,QPSK,0.750000,40.500000,-84.666356
40,1,16QAM,0.500000,54.000000,-82.357356
20,1,16QAM,0.500000,26.000000,-85.531656
160,1,16QAM,0.500000,234.000000,-75.988756
80,1,16QAM,0.500000,117.000000,-78.999056
40,1,16QAM,0.750000,81.000000,-80.596356
20,1,16QAM,0.750000,39.000000,-83.770656
160,1,16QAM,0.750000,351.000000,-74.228756
80,1,16QAM,0.750000,175.500000,-77.239056
20,1,64QAM,0.666667,52.000000,-78.214656
40,1,64QAM,0.666667,108.000000,-75.040356
80,1,64QAM,0.666667,234.000000,-71.683056
160,1,64QAM,0.666667,468.000000,-68.672756
20,1,64QAM,0.750000,58.500000,-77.703656
40,1,64QAM,0.750000,121.500000,-74.529356
80,1,64QAM,0.750000,263.300000,-71.170056
160,1,64QAM,0.750000,526.500000,-68.160756
20,1,64QAM,0.833333,65.000000,-77.245656
40,1,64QAM,0.833333,135.000000,-74.071356
80,1,64QAM,0.833333,292.500000,-70.714056
160,1,64QAM,0.833333,585.000000,-67.703756
20,1,256QAM,0.750000,78.000000,-71.774656
20,1,BPSK,0.500000,7.200000,-95.177656
20,1,QPSK,0.500000,14.400000,-89.156656
20,1,QPSK,0.750000,21.700000,-87.375656
40,1,256QAM,0.750000,162.000000,-68.600356
80,1,256QAM,0.750000,351.000000,-65.242056
160,1,256QAM,0.750000,702.000000,-62.231756
20,1,16QAM,0.500000,28.900000,-85.072656
20,1,16QAM,0.750000,43.300000,-83.316656
20,1,64QAM,0.666667,57.800000,-77.755656
20,1,64QAM,0.750000,65.000000,-77.245656
20,1,64QAM,0.833333,72.200000,-76.789656
40,1,256QAM,0.833333,180.000000,-68.142356
40,1,BPSK,0.500000,15.000000,-91.990356
40,1,QPSK,0.500000,30.000000,-85.969356
40,1,QPSK,0.750000,45.000000,-84.208356
40,1,16QAM,0.500000,60.000000,-81.899356
80,1,256QAM,0.833333,390.000000,-64.785056
80,1,BPSK,0.500000,32.500000,-88.632056
80,1,QPSK,0.500000,65.000000,-82.611056
160,1,256QAM,0.833333,780.000000,-61.774756
160,1,BPSK,0.500000,65.000000,-85.621756
80,1,QPSK,0.750000,97.500000,-80.851056
160,1,QPSK,0.500000,130.000000,-79.600756
160,1,QPSK,0.750000,195.000000,-77.840756
40,1,16QAM,0.750000,90.000000,-80.139356
80,1,16QAM,0.500000,130.000000,-78.542056
160,1,16QAM,0.500000,260.000000,-75.531756
80,1,16QAM,0.750000,195.000000,-76.781056
160,1,16QAM,0.750000,390.000000,-73.770756
40,1,64QAM,0.666667,120.000000,-74.583356
160,1,64QAM,0.666667,520.000000,-68.214756
80,1,64QAM,0.666667,260.000000,-71.225056
40,1,64QAM,0.750000,135.000000,-74.071356
160,1,64QAM,0.750000,585.000000,-67.703756
80,1,64QAM,0.750000,292.500000,-70.714056
20,1,256QAM,0.750000,86.700000,-71.314656
20,2,BPSK,0.500000,13.000000,-95.621656
20,2,QPSK,0.500000,26.000000,-89.601656
20,2,QPSK,0.750000,39.000000,-87.840656
40,1,64QAM,0.833333,150.000000,-73.614356
20,2,16QAM,0.500000,52.000000,-85.531656
160,1,64QAM,0.833333,650.000000,-67.245756
80,1,64QAM,0.833333,325.000000,-70.256056
20,2,16QAM,0.750000,78.000000,-83.770656
20,2,64QAM,0.666667,104.000000,-78.214656
20,2,64QAM,0.750000,117.000000,-77.703656
20,2,64QAM,0.833333,130.000000,-77.245656
40,1,256QAM,0.750000,180.000000,-68.142356
160,1,256QAM,0.750000,780.000000,-61.774756
80,1,256QAM,0.750000,390.000000,-64.785056
20,2,256QAM,0.750000,156.000000,-71.774656
20,2,BPSK,0.500000,14.400000,-95.177656
20,2,QPSK,0.500000,28.900000,-89.141656
20,2,QPSK,0.750000,43.300000,-87.385656
20,2,16QAM,0.500000,57.800000,-85.072656
40,1,256QAM,0.833333,200.000000,-67.685356
40,2,BPSK,0.500000,27.000000,-92.447356
40,2,QPSK,0.500000,54.000000,-86.427356
20,2,16QAM,0.750000,86.700000,-83.311656
40,2,QPSK,0.750000,81.000000,-84.666356
160,1,256QAM,0.833333,866.700000,-61.316756
160,2,BPSK,0.500000,117.000000,-86.079756
160,2,QPSK,0.500000,234.000000,-80.058756
160,2,QPSK,0.750000,351.000000,-78.297756
40,2,16QAM,0.500000,108.000000,-82.357356
80,1,256QAM,0.833333,433.300000,-64.327056
80,2,BPSK,0.500000,58.500000,-89.090056
80,2,QPSK,0.500000,117.000000,-83.069056
160,2,16QAM,0.500000,468.000000,-75.988756
80,2,QPSK,0.750000,175.500000,-81.308056
40,2,16QAM,0.750000,162.000000,-80.596356
80,2,16QAM,0.500000,234.000000,-78.999056
160,2,16QAM,0.750000,702.000000,-74.228756
80,2,16QAM,0.750000,351.000000,-77.239056
20,2,64QAM,0.666667,115.600000,-77.755656
40,2,64QAM,0.666667,216.000000,-75.040356
160,2,64QAM,0.666667,936.000000,-68.672756
80,2,64QAM,0.666667,468.000000,-71.683056
20,2,64QAM,0.750000,130.000000,-77.245656
40,2,64QAM,0.750000,243.000000,-74.529356
160,2,64QAM,0.750000,1053.000000,-68.160756
80,2,64QAM,0.750000,526.500000,-71.171056
20,2,64QAM,0.833333,144.400000,-76.789656
40,2,64QAM,0.833333,270.000000,-74.071356
160,2,64QAM,0.833333,1170.000000,-67.703756
80,2,64QAM,0.833333,585.000000,-70.714056
20,2,256QAM,0.750000,173.300000,-71.317656
20,3,BPSK,0.500000,19.500000,-95.621656
20,3,QPSK,0.500000,39.000000,-89.601656
20,3,QPSK,0.750000,58.500000,-87.840656
20,3,16QAM,0.500000,78.000000,-85.531656
160,2,256QAM,0.750000,1404.000000,-62.231756
40,2,256QAM,0.750000,324.000000,-68.600356
20,3,16QAM,0.750000,117.000000,-83.770656
80,2,256QAM,0.750000,702.000000,-65.242056
20,3,64QAM,0.666667,156.000000,-78.214656
20,3,64QAM,0.750000,175.500000,-77.703656
20,3,64QAM,0.833333,195.000000,-77.245656
40,2,256QAM,0.833333,360.000000,-68.142356
40,2,BPSK,0.500000,30.000000,-91.990356
40,2,QPSK,0.500000,60.000000,-85.969356
160,2,256QAM,0.833333,1560.000000,-61.774756
40,2,QPSK,0.750000,90.000000,-84.208356
160,2,BPSK,0.500000,130.000000,-85.621756
160,2,QPSK,0.500000,260.000000,-79.600756
160,2,QPSK,0.750000,390.000000,-77.840756
40,2,16QAM,0.500000,120.000000,-81.899356
160,2,16QAM,0.500000,520.000000,-75.531756
40,2,16QAM,0.750000,180.000000,-80.139356
160,2,16QAM,0.750000,780.000000,-73.770756
80,2,256QAM,0.833333,780.000000,-64.785056
80,2,BPSK,0.500000,65.000000,-88.632056
80,2,QPSK,0.500000,130.000000,-82.611056
80,2,QPSK,0.750000,195.000000,-80.851056
80,2,16QAM,0.500000,260.000000,-78.542056
80,2,16QAM,0.750000,390.000000,-76.781056
40,2,64QAM,0.666667,240.000000,-74.583356
160,2,64QAM,0.666667,1040.000000,-68.214756
80,2,64QAM,0.666667,520.000000,-71.225056
40,2,64QAM,0.750000,270.000000,-74.071356
160,2,64QAM,0.750000,1170.000000,-67.703756
20,3,256QAM,0.750000,234.000000,-71.774656
80,2,64QAM,0.750000,585.000000,-70.714056
40,2,64QAM,0.833333,300.000000,-73.614356
160,2,64QAM,0.833333,1300.000000,-67.245756
80,2,64QAM,0.833333,650.000000,-70.256056
20,3,256QAM,0.750000,260.000000,-71.316656
20,3,BPSK,0.500000,21.700000,-95.157656
20,3,QPSK,0.500000,43.300000,-89.146656
20,3,QPSK,0.750000,65.000000,-87.382656
20,3,16QAM,0.500000,86.700000,-85.072656
40,2,256QAM,0.750000,360.000000,-68.142356
160,2,256QAM,0.750000,1560.000000,-61.774756
20,3,16QAM,0.750000,130.000000,-83.312656
80,2,256QAM,0.750000,780.000000,-64.785056
20,3,64QAM,0.666667,173.300000,-77.758656
20,3,64QAM,0.750000,195.000000,-77.245656
20,3,64QAM,0.833333,216.700000,-76.787656
40,2,256QAM,0.833333,400.000000,-67.685356
40,3,BPSK,0.500000,40.500000,-92.447356
40,3,QPSK,0.500000,81.000000,-86.427356
40,3,QPSK,0.750000,121.500000,-84.666356
160,2,256QAM,0.833333,1733.300000,-61.316756
160,3,BPSK,0.500000,175.500000,-86.079756
160,3,QPSK,0.500000,351.000000,-80.058756
160,3,QPSK,0.750000,526.500000,-78.297756
40,3,16QAM,0.500000,162.000000,-82.357356
160,3,16QAM,0.500000,702.000000,-75.988756
40,3,16QAM,0.750000,243.000000,-80.596356
160,3,16QAM,0.750000,1053.000000,-74.228756
80,2,256QAM,0.833333,866.700000,-64.327056
80,3,BPSK,0.500000,87.800000,-89.087056
80,3,QPSK,0.500000,175.500000,-83.069056
80,3,QPSK,0.750000,263.300000,-81.307056
80,3,16QAM,0.500000,351.000000,-78.999056
40,3,64QAM,0.666667,324.000000,-75.040356
80,3,16QAM,0.750000,526.500000,-77.239056
160,3,64QAM,0.666667,1404.000000,-68.672756
40,3,64QAM,0.750000,364.500000,-74.529356
80,3,64QAM,0.666667,702.000000,-71.683056
160,3,64QAM,0.750000,1579.500000,-68.160756
20,3,256QAM,0.750000,260.000000,-71.316656
40,3,64QAM,0.833333,405.000000,-74.071356
80,3,64QAM,0.833333,877.500000,-70.714056
160,3,64QAM,0.833333,1755.000000,-67.703756
20,3,256QAM,0.750000,288.900000,-70.858656
20,4,BPSK,0.500000,26.000000,-95.621656
20,4,QPSK,0.500000,52.000000,-89.601656
20,4,QPSK,0.750000,78.000000,-87.840656
20,4,16QAM,0.500000,104.000000,-85.531656
20,4,16QAM,0.750000,156.000000,-83.770656
40,3,256QAM,0.750000,486.000000,-68.600356
160,3,256QAM,0.750000,2106.000000,-62.231756
160,3,BPSK,0.500000,195.000000,-85.621756
160,3,QPSK,0.500000,390.000000,-79.600756
160,3,QPSK,0.750000,585.000000,-77.840756
80,3,256QAM,0.750000,1053.000000,-65.242056
160,3,16QAM,0.500000,780.000000,-75.531756
160,3,16QAM,0.750000,1170.000000,-73.770756
20,4,64QAM,0.666667,208.000000,-78.214656
160,3,64QAM,0.666667,1560.000000,-68.214756
20,4,64QAM,0.750000,234.000000,-77.703656
160,3,64QAM,0.750000,1755.000000,-67.703756
20,4,64QAM,0.833333,260.000000,-77.245656
160,3,64QAM,0.833333,1950.000000,-67.245756
40,3,256QAM,0.833333,540.000000,-68.142356
40,3,BPSK,0.500000,45.000000,-91.990356
40,3,QPSK,0.500000,90.000000,-85.969356
40,3,QPSK,0.750000,135.000000,-84.208356
40,3,16QAM,0.500000,180.000000,-81.899356
80,3,256QAM,0.833333,1170.000000,-64.785056
80,3,BPSK,0.500000,97.500000,-88.632056
80,3,QPSK,0.500000,195.000000,-82.611056
80,3,QPSK,0.750000,292.500000,-80.851056
40,3,16QAM,0.750000,270.000000,-80.139356
80,3,16QAM,0.500000,390.000000,-78.542056
80,3,16QAM,0.750000,585.000000,-76.781056
40,3,64QAM,0.666667,360.000000,-74.583356
80,3,64QAM,0.666667,780.000000,-71.225056
40,3,64QAM,0.750000,405.500000,-74.066356
80,3,64QAM,0.833333,975.000000,-70.256056
20,4,256QAM,0.750000,312.000000,-71.774656
20,4,BPSK,0.500000,28.900000,-95.162656
20,4,QPSK,0.500000,57.800000,-89.141656
20,4,QPSK,0.750000,86.700000,-87.380656
20,4,16QAM,0.500000,115.600000,-85.072656
40,3,64QAM,0.833333,450.000000,-73.614356
20,4,16QAM,0.750000,173.300000,-83.313656
160,3,256QAM,0.750000,2340.000000,-61.774756
160,4,BPSK,0.500000,234.000000,-86.079756
160,4,QPSK,0.500000,468.000000,-80.058756
160,4,QPSK,0.750000,702.000000,-78.297756
160,4,16QAM,0.500000,936.000000,-75.988756
160,4,16QAM,0.750000,1404.000000,-74.228756
20,4,64QAM,0.666667,231.100000,-77.757656
160,4,64QAM,0.666667,1872.000000,-68.672756
20,4,64QAM,0.750000,260.000000,-77.245656
160,4,64QAM,0.750000,2106.000000,-68.160756
80,3,256QAM,0.750000,1170.000000,-64.785056
20,4,64QAM,0.833333,288.900000,-76.787656
40,3,256QAM,0.750000,540.000000,-68.142356
160,4,64QAM,0.833333,2340.000000,-67.703756
20,4,256QAM,0.750000,346.700000,-71.316656
20,5,BPSK,0.500000,32.500000,-95.621656
20,5,QPSK,0.500000,65.000000,-89.601656
20,5,QPSK,0.750000,97.500000,-87.840656
80,3,256QAM,0.833333,1300.000000,-64.327056
80,4,BPSK,0.500000,117.000000,-89.090056
80,4,QPSK,0.500000,234.000000,-83.069056
80,4,QPSK,0.750000,351.000000,-81.308056
20,5,16QAM,0.500000,130.000000,-85.531656
80,4,16QAM,0.500000,468.000000,-78.999056
20,5,16QAM,0.750000,195.000000,-83.770656
80,4,16QAM,0.750000,702.000000,-77.239056
40,3,256QAM,0.833333,600.000000,-67.685356
40,4,BPSK,0.500000,54.000000,-92.447356
40,4,QPSK,0.500000,108.000000,-86.427356
40,4,QPSK,0.750000,162.000000,-84.666356
160,4,256QAM,0.750000,2808.000000,-62.231756
40,4,16QAM,0.500000,216.000000,-82.357356
40,4,16QAM,0.750000,324.000000,-80.596356
20,5,64QAM,0.666667,260.000000,-78.214656
80,4,64QAM,0.666667,936.000000,-71.683056
20,5,64QAM,0.750000,292.500000,-77.703656
40,4,64QAM,0.666667,432.000000,-75.040356
80,4,64QAM,0.750000,1053.000000,-71.171056
20,5,64QAM,0.833333,325.000000,-77.245656
40,4,64QAM,0.750000,486.500000,-74.524356
80,4,64QAM,0.833333,1170.000000,-70.714056
40,4,64QAM,0.833333,540.000000,-74.071356
160,4,256QAM,0.833333,3120.000000,-61.774756
160,4,BPSK,0.500000,260.000000,-85.621756
160,4,QPSK,0.500000,520.000000,-79.600756
160,4,QPSK,0.750000,780.000000,-77.840756
160,4,16QAM,0.500000,1040.000000,-75.531756
160,4,16QAM,0.750000,1560.000000,-73.770756
160,4,64QAM,0.666667,2080.000000,-68.214756
20,5,256QAM,0.750000,390.000000,-71.774656
20,5,BPSK,0.500000,36.100000,-95.165656
20,5,QPSK,0.500000,72.200000,-89.144656
20,5,QPSK,0.750000,108.300000,-87.383656
80,4,256QAM,0.750000,1404.000000,-65.242056
20,5,16QAM,0.500000,144.400000,-85.075656
160,4,64QAM,0.750000,2340.000000,-67.703756
20,5,16QAM,0.750000,216.700000,-83.312656
40,4,256QAM,0.750000,648.000000,-68.600356
160,4,64QAM,0.833333,2600.000000,-67.245756
20,5,64QAM,0.666667,288.900000,-77.757656
20,5,64QAM,0.750000,325.000000,-77.245656
20,5,64QAM,0.833333,361.100000,-76.788656
80,4,256QAM,0.833333,1560.000000,-64.785056
80,4,BPSK,0.500000,130.000000,-88.632056
80,4,QPSK,0.500000,260.000000,-82.611056
80,4,QPSK,0.750000,390.000000,-80.851056
80,4,16QAM,0.500000,520.000000,-78.542056
80,4,16QAM,0.750000,780.000000,-76.781056
40,4,256QAM,0.833333,720.000000,-68.142356
40,4,BPSK,0.500000,60.000000,-91.990356
